mice_ID,exp_cond,estrous_stage,state_before,retrieval_latency,state_before_comment,1h_food_consumption_before,state_after,state_after_latency,parental_state_after,state_after_comment,1h_food_consumption_after,exp_time,prev_exp,exp_date
JKAM3.1h,all_stressor_5h,P,Parental-,,,,Agg-,,,1620 attack time out of range,,1,,09/11/19
JKAM2.1e,all_stressor_5h,M,Parental+,,build a nest around the pups,,Agg+,197,,,,1,,10/11/19
JKAM2.1d,all_stressor_5h,D,Parental+,102,,,Agg+,143,,,,1,,12/11/19
JKAM2.1g,all_stressor_5h,D,Parental+,33,,,Agg+,417,,some crouching(?) before the attack,,1,,12/11/19
JKAM3.1j,all_stressor_5h,E,Parental+,30,,,Agg-,,Parental+,,,1,,13/11/19
JKAM3.1i,all_stressor_5h,E,Parental+,157,,,Agg-,,Parental+,,,1,,14/11/19
JKAM3.1c,all_stressor_5h,E,Parental+,,build a nest around the pups,,Agg-,,Parental+,,,1,,17/11/19
JKAM3.1f,all_stressor_5h,M,Parental-,,some grooming but not a lot,,Agg+,419,,,,1,,17/11/19
JKAM3.1d,all_stressor_5h,M,Parental-,,become parental after 20 min,,Agg+,185,,,,1,,17/11/19
BRZZ109.6d,all_stressor_5h,P,Parental+,,build a nest around the pups,,Agg+,225,,,,1,,26/12/19
JKAM2.4h,all_stressor_5h,M,Parental-,,,,Agg+,884,,,,1,,26/12/19
BRZZ132.5f,all_stressor_5h,M,Parental+,173,,,Agg+,143,,,,1,,26/12/19
BRZZ260.2h,all_stressor_5h,M,Parental+,,build a nest around the pups,,Agg+ / Agg-?,70,Parental+,,,1,,26/12/19
JKAM3.4i,all_stressor_5h,P,Parental+,459,,,Agg+,132,,,,1,,30/12/19
BRZZ288.2a,all_stressor_5h,D,Parental-,,,,Agg+ / Agg-?,86,,aggressive but out of the time range,,1,,04/01/20
JKAM1.4b,all_stressor_5h,D,Parental+,688,,,Agg-,,Parental+,,,1,,08/01/20
BRZZ109.6c,all_stressor_5h,E,Parental+,123,,,Agg-,,Parental+,,,2,all_stressor_plus_food(1),30/12/19
BRZZ109.6e,all_stressor_5h,E,Parental+,,build a nest around the pups,,Agg-,,Parental-,,,2,all_stressor_plus_food,03/01/20
BRZZ136.4c,all_stressor_2h,M,Parental+,158,retrieve both pups,,Agg-,,Parental+,,,1,,14/02/20
BRZZ136.4d,all_stressor_2h,E,Parental-,,,,Agg-,,Parental+,,,1,,14/02/20
BRZZ371.2f,all_stressor_2h,E,Parental+,,build a nest around the pups,, ,,Parental-,,,1,,18/02/20
BRZZ371.2d,all_stressor_2h,D,Parental-,,,,Agg-,,Parental-,,,1,,18/02/20
BRZZ371.2e,all_stressor_2h,E,Parental+,,build a nest around the pups,,Agg-,,Parental+,,,1,,18/02/20
BRZZ136.4d,all_stressor_2h,P,Parental+,,build a nest around the pups,,Agg-,,Parental+,,,2,,18/02/20
BRZZ136.4e,all_stressor_2h,E,Parental-,,,,Agg+,192,,,,1,,25/02/20
BRZZ371.2d,all_stressor_2h,E,Parental+,123,retrieve both pups,,Agg-,,Parental+,,,2,,25/02/20
BRZZ371.2h,all_stressor_2h,M,Parental+,,video concatenated,,Agg-,,Parental+,,,1,,25/02/20
BRZZ371.2g,all_stressor_2h,M,Parental+,,video concatenated,,Agg-,,Parental+,,,1,,25/02/20
JKAM2.2f,food_deprivation,D,Parental+,,build a nest around the pups,,Agg+,329,,,,1,,21/12/19
BRZZ200.5f,food_deprivation,E,Parental+,121,video starting point missing,,Agg-,,Parental+,,,1,,21/12/19
BRZZ200.5e,food_deprivation,P,Parental+,,cannot define retrieval as pus climb to the nest,,Agg-,,Parental+,,,1,,21/12/19
JKAM2.2e,food_deprivation,P,Parental+,406,,,Agg-,,Parental+,,,1,,21/12/19
BRZZ 132.5g,food_deprivation,E,Parental+,,build a nest around the pups,,Agg-,,Parental+,build a nest around the pups,,1,,22/12/19
BRZZ200.5d,food_deprivation,M,Parental+,227,,,Agg+,235,,,,1,,22/12/19
BRZZ 101.5b,food_deprivation,D,Parental+,356,,,Agg-,,Parental+,,,2,light_cycle_disturbed,20/12/19
BRZZ 154.3e,food_deprivation,M,Parental+,123,,,Agg+,171,,,,2,light_cycle_disturbed,20/12/19
BRZZ101.5c,food_deprivation,M,Parental+,45,,,Agg+,182,,,,2,light_cycle_disturbed(6),22/12/19
BRZZ180.4b,food_deprivation,D,,,,,Agg-,,Parental+,314 retrieval time,,2,water_deprivation(6),24/12/19
BRZZ260.2g,food_deprivation,P,Parental+,,build a nest around the pups,,Agg-,,Parental+,build a nest around the pups,,2,light_cycle_disturbed(6),22/12/19
BRAC5163.3h,food_deprivation,D,Parental-,,,,Agg-,,Parental-,,,1,,11/11/20
BRAC4857.7j,food_deprivation,M,Parental+,390,retrieve both pups,,Agg+,253,,,,1,,11/11/20
BRAC4709.7c,food_deprivation,E,Parental+,,build a nest around the pups,0.3,Agg-,,Parental+,build a nest around the pups,0.8,1,,22/11/20
BRAC4709.7d,food_deprivation,D,Parental+,579,retrieve one pup,0,Agg+,254,,,0.7,1,,22/11/20
BRAC4742.4b,food_deprivation,E,Parental-,,,0,Agg-,,Parental+,build a nest around the pups,0.4,1,,22/11/20
BRAC4742.4c,food_deprivation,E,Parental+,,build a nest around the pups,0.1,Agg-,,Parental+,build a nest around the pups,0.2,1,,22/11/20
BRAC5163.3h,food_deprivation,E,Parental+,,build a nest around the pups,,Agg-,,Parental+,build a nest around the pups,,2,food_deprivation(4),15/11/20
BRAC4857.7j,food_deprivation,P,Parental+,,"retrieve both pups, no one way retrieval",,Agg+,145,,,,2,food_deprivation(4),15/11/20
BRAC5163.3h,food_deprivation,M,Parental+,2,"retrieve both pups, retrieve the second one a few minutes later",3.4,Agg-,,Parental+,"180 retrieval time, retrive both pups",0.4,3,food_deprivation(4),19/11/20
BRAC4857.7j,food_deprivation,M,Parental+,,build a nest around the pups,0.6,Agg-,,Parental+,long grooming time,0.6,3,food_deprivation(4),19/11/20
BRAC5163.3h,food_deprivation,,Parental+,,retrieve both pups,0.1,,,Parental+,build a nest around the pups,,4,food_deprivation(4),23/11/20
