mice_ID,deprivation_duration,estrous_stage,state_before,retrieval_before_latency,state_before_comment,1h_food_consumption_before,state_after,state_after_latency,parental_state_after,retrieval_after_latency,state_after_comment,exp_date
BRAC6691.6g,120,,,,,,Agg-,,,,,
BRAC6692.6i,120,,,,,,Agg-,,Parental+,,,
BRAC7110.1h,120,,,,,,Agg-,,,,,
BRAC7110.1i,120,,,,,,Agg-,,,,,
BRAC7110.1j,120,,,,,,Agg+,,,,,
BRAC7193.1a,120,,,,,,Agg+,,,,,
BRAC6486.8e,240,,,,,,Agg+,,,,,
BRAC6521.7f,240,,,,,,Agg-,,,,,
BRAC6521.7g,240,,,,,,Agg-,,Parental+,,,
BRAC6521.7h,240,,,,,,Agg-,,,,,
BRAC6589.8f,240,,,,,,Agg+,,,,,
BRAC6589.8g,240,,,,,,Agg+,,,,,
BRAC6691.6e,240,,,,,,Agg+,,,,,
BRAC6691.6f,240,,,,,,Agg+,,,,,
BRAC7193.1b,240,,,,,,Agg+,,,,,
BRAC7193.1c,240,,,,,,Agg+,,,,,
BRAC7193.1d,240,,,,,,Agg-,,,,,
