Observation id	Observation date	Description	Media file	Total length	FPS	pre	post	Subject	Behavior	Behavioral category	Modifiers	Behavior type	Start (s)	Stop (s)	Duration (s)	Comment start	Comment stop
BRAC4939.7c(R),BRAC4939.7e(L),test	2021-03-14 13:27:47		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4939.7c(R)BRAC4939.7e(L)_food_deprivation_test_pups_top_left 18_12_2020 17_56_55 1.mp4	935.244	29.99			right	pup introduction			POINT	8.452	8.452	NA		
BRAC4943.6b(R),BRAC5007.4d(L),test	2021-03-14 13:28:54		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4943.6b(R)_BRAC5007.4d(L)_food_deprivation_test_pups bottom_left 20_12_2020 18_05_17 3.mp4	1128.630	29.99			right	pup introduction			POINT	9.196	9.196	NA		
BRAC4895.5b(R),BRAC4895.5e(L),control	2021-03-15 21:55:14		/home/tochenan/pups-20210315T115336Z-001/pups/BRAC4895.5b(R)_BRAC4895.5e(L)_food_deprivation_control_pups top_left 20_12_2020 11_42_02 1.mp4	946.470	29.99			right	pup introduction			POINT	9.453	9.453	NA		
BRAC4895.5b(R),BRAC4895.5e(L),test	2021-03-14 12:31:29		/home/tochenan/pups-20210314T114301Z-001/pups/BRAC4895.5b(R)_BRAC4895.5e(L)_food_deprivation_test_pups top_left 20_12_2020 17_46_55 1.mp4	960.657	29.99			right	pup introduction			POINT	9.954	9.954	NA		
BRAC4895.5b(R),BRAC4895.5e(L),control	2021-03-15 21:55:14		/home/tochenan/pups-20210315T115336Z-001/pups/BRAC4895.5b(R)_BRAC4895.5e(L)_food_deprivation_control_pups top_left 20_12_2020 11_42_02 1.mp4	946.470	29.99			right	in empty nest			STATE	10.206	104.241	94.035		
BRAC4939.7c(R),BRAC4939.7e(L),control	2021-03-15 21:56:36		/home/tochenan/pups-20210315T115336Z-001/pups/BRAC4939.7c(R)_BRAC4939.7e(L)_food_deprivation_control_pups top_left 18_12_2020 11_45_58 1.mp4	980.210	29.89			right	pup introduction			POINT	10.400	10.400	NA		
BRAC5178.2i(R),BRAC5178.2j(L),test	2021-03-13 20:48:48		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC5178.2i(R)BRAC5178.2j(L)_food_deprivation_test_first bottom_left 03_12_2020 17_52_25 3.mp4	963.460	29.97			right	pup introduction			POINT	10.900	10.900	NA		
BRAC5178.2i(R),BRAC5178.2j(L),control	2021-04-25 19:48:03		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/control/BRAC5178.2i(R)_BRAC5178.2j(L)_food_deprivation_control_first bottom_left 03_12_2020 11_38_12 3.mp4	962.470	29.76			right	pup introduction			POINT	11.711	11.711	NA		
BRAC5178.2i(R),BRAC5178.2j(L),test	2021-03-13 20:48:48		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC5178.2i(R)BRAC5178.2j(L)_food_deprivation_test_first bottom_left 03_12_2020 17_52_25 3.mp4	963.460	29.97			right	chemoinvestigation	investigation		STATE	12.080	13.580	1.500		
BRAC4673.7b(R),BRAC4908.4e(L),test	2021-03-13 00:34:59		/home/tochenan/food_dep-20210312T211412Z-001/food_dep/first_exp/test/BRAC4673.7b(R)BRAC4908.4e(L)_food_deprivation_test_first top_left 03_12_2020 17_34_11 1.mp4	960.900	29.99			right	pup introduction			POINT	12.400	12.400	NA		
