,% Esr1,% PR,% Prlr,% Oxtr,% Esr1_AND_PR,% Esr1_AND_Prlr,% Esr1_AND_Oxtr,% PR_AND_Prlr,% PR_AND_Oxtr,% Prlr_AND_Oxtr,% Esr1_AND_PR_AND_Prlr,% Esr1_AND_PR_AND_Oxtr,% Esr1_AND_Prlr_AND_Oxtr,% PR_AND_Prlr_AND_Oxtr,% all,% Esr1_given_PR,% Esr1_given_Prlr,% Esr1_given_Oxtr,% PR_given_Esr1,% PR_given_Prlr,% PR_given_Oxtr,% Prlr_given_Esr1,% Prlr_given_PR,% Prlr_given_Oxtr,% Oxtr_given_Esr1,% Oxtr_given_PR,% Oxtr_given_Prlr
PRM,0.8350453973092982,8.452073254247024,0.08946914971171052,0.4771687984624561,0.10493295336558642,0.027613935096206948,0.03092760730775178,0.008836459230786225,0.31811253230830405,0.018777475865420726,0.004418229615393112,0.014359246250027614,0.007731901826937945,0.006627344423089668,0.004418229615393112,1.2415054887611081,30.864197530864196,6.481481481481481,12.566137566137566,9.876543209876543,66.66666666666666,3.3068783068783065,0.10454783063251437,3.935185185185185,3.7037037037037033,3.7637219027705178,20.98765432098765
FOTU,0.6890215893431328,8.443646385768572,0.012527665260784231,0.6138555977784274,0.05846243788365975,0.004175888420261411,0.008351776840522821,0.004175888420261411,0.48857894517058503,0.004175888420261411,0.0,0.004175888420261411,0.0,0.004175888420261411,0.0,0.6923837784371909,33.33333333333333,1.3605442176870748,8.484848484848486,33.33333333333333,79.59183673469387,0.6060606060606061,0.04945598417408506,0.6802721088435374,1.2121212121212122,5.786350148367952,33.33333333333333
COPY,0.8388811666300875,8.571707269490576,0.15607091472187676,0.4682127441656303,0.12193040212646622,0.026824688467822568,0.05608798497817446,0.029263296510351894,0.263369668593167,0.06828102519082108,0.01707025629770527,0.03414051259541054,0.019508864340234595,0.021947472382763917,0.01707025629770527,1.422475106685633,17.1875,11.979166666666668,14.534883720930234,18.75,56.25,3.1976744186046515,0.34139402560455195,14.583333333333334,6.686046511627906,3.072546230440967,43.75
MY,6.258464316493619,57.75433988591128,18.122871096154636,4.153157959535438,3.6894160134608285,1.5430705462305576,0.582755365863668,14.73714449870727,3.2010506012229656,1.296835884598022,1.3050437066524396,0.5170927894283253,0.23392292855090902,1.0957442442647842,0.21340337341486437,6.388119093299226,8.51449275362319,14.031620553359684,58.950819672131146,81.31793478260869,77.07509881422925,24.65573770491803,25.516947345981666,31.225296442687743,9.311475409836065,5.542528245576636,7.155797101449275
sptV,4.360238774980535,57.99377108746432,12.354009862444848,4.074746950428238,2.569426420970672,1.7259278484297949,0.4931222424085129,8.396055022060732,2.2190500908383077,1.4274591227614846,1.206851803789255,0.40228393459641837,0.28549182455229694,0.9343368803529718,0.2725149234362834,4.430521369433878,13.970588235294118,12.101910828025478,58.92857142857143,67.96218487394958,54.45859872611465,39.58333333333333,14.47751174759454,35.03184713375796,11.30952380952381,3.826359364511076,11.554621848739496
SPVC,3.7859007832898173,68.2026674193776,11.198927386916942,3.2989908969021244,2.868534330675323,1.5418813068943615,0.46221155881730297,8.85258626772987,2.3992661068379086,1.146708065768118,1.2278597134994003,0.3810599110860207,0.26462493825418104,0.9173664526144943,0.22934161315362359,4.205897568546301,13.768115942028986,14.010695187165775,75.76887232059646,79.04851921865155,72.72727272727273,40.72693383038211,12.97982410760476,34.75935828877005,12.208760484622553,3.517847904811174,10.239445494643983
MDRNd,6.957942719532123,72.53805796852154,23.978670336286232,6.269889051346005,6.158080330265761,3.5004730368968775,0.7654597058570568,21.09744560075686,5.564634041455233,2.78661735615378,3.302657607293369,0.7224563515954244,0.5246409219919154,2.6490066225165565,0.5160402511395888,8.489447474507944,14.598278335724535,12.208504801097392,88.50432632880099,87.98421807747489,88.7517146776406,50.30902348578492,29.084657339340765,44.44444444444444,11.00123609394314,7.671330329618212,11.621233859397417
rust,5.894413121476166,60.37929267042542,17.06817016914403,3.844182470527934,3.5879036391594052,1.1276268580215274,0.3075345976422348,13.53152229625833,2.7678113787801126,1.6914402870322913,1.0251153254741157,0.2562788313685289,0.0,1.2813941568426448,0.0,5.942275042444821,6.606606606606606,8.0,60.86956521739131,79.27927927927928,72.0,19.130434782608695,22.410865874363328,44.0,5.217391304347826,4.584040747028863,9.90990990990991
PYR,0.17695073919744278,8.721959015925567,0.034248530167246986,0.5222900850505167,0.017124265083623493,0.011416176722415664,0.0,0.0,0.35960956675609335,0.0,0.0,0.0,0.0,0.0,0.0,0.1963350785340314,33.33333333333333,0.0,9.67741935483871,0.0,68.85245901639344,6.451612903225806,0.0,0.0,0.0,4.12303664921466,0.0
UVU,0.8569816887963204,11.793803696953917,0.34279267551852816,0.7051115160982383,0.13451358153258702,0.0,0.0021695738956868872,0.22780525904712315,0.5380543261303481,0.0021695738956868872,0.0,0.0,0.0,0.0021695738956868872,0.0,1.1405445180279619,0.0,0.3076923076923077,15.69620253164557,66.45569620253164,76.3076923076923,0.0,1.9315673289183224,0.3076923076923077,0.25316455696202533,4.5621780721118474,0.6329113924050633
arb,1.065749272259244,4.427791276733948,0.4113840306011981,0.21772078812519546,0.12509923737580292,0.10946183270382755,0.01082589554213679,0.2189236654076551,0.12389636009334329,0.028869054779031445,0.04811509129838574,0.0036086318473789306,0.007217263694757861,0.014434527389515723,0.0,2.8253192067372996,26.608187134502927,4.972375690607735,11.738148984198645,53.216374269005854,56.9060773480663,10.270880361173814,4.944308611790275,13.259668508287293,1.0158013544018059,2.798152675903287,7.017543859649122
root,5.818806776331941,33.304689418119324,8.703658237171616,3.4495457893444637,1.5344954578934447,1.190768475325313,0.49717652835747606,4.468450773385711,1.9150503314510188,0.4910385465259023,0.6690400196415419,0.21482936410508224,0.12889761846304934,0.35600294623127915,0.07365578197888534,4.607445632141541,13.681241184767279,14.412811387900357,26.371308016877638,51.33991537376586,55.51601423487544,20.464135021097047,13.416881680796166,14.23487544483986,8.544303797468354,5.750092148912643,5.6417489421720735
cuf,1.968503937007874,61.023622047244096,11.023622047244094,3.543307086614173,1.968503937007874,1.1811023622047243,0.7874015748031495,7.874015748031496,2.3622047244094486,1.1811023622047243,1.1811023622047243,0.7874015748031495,0.7874015748031495,1.1811023622047243,0.7874015748031495,3.225806451612903,10.714285714285714,22.22222222222222,100.0,71.42857142857143,66.66666666666666,60.0,12.903225806451612,33.33333333333333,40.0,3.870967741935484,10.714285714285714
CU,3.2481363152289675,76.0915867944622,11.892083777067802,3.532126375576855,2.8399006034788785,1.2247071352502663,0.5857294994675186,10.010649627263046,3.177138800141995,1.2069577564785232,1.1537096201632944,0.5502307419240327,0.26624068157614483,1.1714589989350372,0.26624068157614483,3.7322136692325634,10.298507462686567,16.582914572864322,87.43169398907104,84.17910447761194,89.9497487437186,37.704918032786885,13.156053184044787,34.17085427135678,18.0327868852459,4.17541404245393,10.149253731343283
GR,2.215568862275449,70.05988023952095,10.059880239520957,2.155688622754491,1.8562874251497008,1.2574850299401197,0.47904191616766467,7.964071856287425,1.437125748502994,0.6586826347305389,1.1377245508982037,0.3592814371257485,0.23952095808383234,0.5389221556886228,0.17964071856287425,2.6495726495726495,12.5,22.22222222222222,83.78378378378379,79.16666666666666,66.66666666666666,56.75675675675676,11.367521367521368,30.555555555555557,21.62162162162162,2.051282051282051,6.547619047619048
IRN,5.857257578799438,78.96506725557117,24.2320819112628,6.103192130094358,5.425617345914475,2.6400321220638423,0.6725557117044769,21.883155992772537,5.3653884762095965,2.0728769323429033,2.5547078899819313,0.6474603493274442,0.3262397109014254,1.9223047580807067,0.31620156595061233,6.870908281955127,10.894780447390223,11.019736842105262,92.63067694944301,90.30654515327258,87.91118421052632,45.072836332476435,27.712451534990144,33.963815789473685,11.482433590402742,6.794635479565245,8.554266777133389
NTS,7.5591498462772355,70.52533083812324,18.907900013367197,9.39045582141425,6.275898943991446,2.2924742681459698,1.25651650848817,15.800026734393798,8.127255714476673,1.791204384440583,2.08528271621441,1.1629461301964978,0.3675979147172838,1.644165218553669,0.34754711936906835,8.898786959818043,12.124425592082009,13.380782918149468,83.0238726790451,83.56309650053022,86.54804270462634,30.327144120247567,22.403335860500377,19.07473309608541,16.622458001768347,11.523881728582259,9.473312124425593
DMX,8.967488388710255,80.13576277241872,20.685959271168276,21.257591997141837,8.038585209003216,2.2508038585209005,3.1797070382279387,19.078242229367632,19.935691318327976,3.3583422650946764,2.1078956770275097,3.0367988567345483,0.7145409074669525,3.1797070382279387,0.7145409074669525,10.031208203299153,10.880829015544041,14.957983193277311,89.64143426294821,92.2279792746114,93.78151260504201,25.099601593625497,23.807400802496655,15.798319327731091,35.45816733067729,24.8773963441819,16.234887737478413
MDRNv,7.799406987237334,73.88165527910274,19.595204331571484,3.4162691762279236,7.129044733788836,2.5525331958231274,0.4383137811009411,17.945081861544413,2.952172231532809,1.353616088694083,2.5009668686347815,0.39963903570968157,0.20626530875338403,1.2504834343173907,0.20626530875338403,9.64927586808585,13.026315789473683,12.830188679245284,91.40495867768595,91.57894736842105,86.41509433962264,32.72727272727273,24.288954807188972,39.62264150943396,5.619834710743802,3.9958122491711747,6.907894736842106
pyd,0.7518796992481203,24.81203007518797,8.270676691729323,0.7518796992481203,0.7518796992481203,0.7518796992481203,0.0,7.518796992481203,0.7518796992481203,0.7518796992481203,0.7518796992481203,0.0,0.0,0.7518796992481203,0.0,3.0303030303030303,9.090909090909092,0.0,100.0,90.9090909090909,100.0,100.0,30.303030303030305,100.0,0.0,3.0303030303030303,9.090909090909092
sctd,5.142857142857142,47.14285714285714,16.0,5.0,2.0,0.8571428571428572,0.14285714285714285,10.571428571428571,2.2857142857142856,1.2857142857142856,0.8571428571428572,0.14285714285714285,0.14285714285714285,0.8571428571428572,0.14285714285714285,4.242424242424243,5.357142857142857,2.857142857142857,38.88888888888889,66.07142857142857,45.714285714285715,16.666666666666664,22.424242424242426,25.71428571428571,2.7777777777777777,4.848484848484849,8.035714285714286
sctv,7.351225204200699,48.77479579929989,23.337222870478413,5.950991831971995,4.667444574095683,1.9836639439906651,1.0501750291715286,18.903150525087515,4.667444574095683,3.267211201866978,1.9836639439906651,0.9334889148191364,0.4667444574095682,2.6837806301050176,0.4667444574095682,9.569377990430622,8.5,17.647058823529413,63.49206349206349,81.0,78.43137254901961,26.984126984126984,38.75598086124402,54.90196078431373,14.285714285714285,9.569377990430622,14.000000000000002
CB,6.885508406725379,37.51000800640513,16.89351481184948,3.2826261008807047,2.762209767814251,1.921537229783827,0.12009607686148918,13.130504403522819,2.6421136909527623,1.521216973578863,1.8014411529223378,0.12009607686148918,0.08006405124099279,1.2810248198558847,0.08006405124099279,7.363927427961579,11.374407582938389,3.6585365853658534,40.116279069767444,77.72511848341233,80.48780487804879,27.906976744186046,35.005336179295625,46.34146341463415,1.744186046511628,7.043756670224119,9.004739336492891
Pa5,8.518877057115198,48.98354307841239,18.005808325266216,10.842207163601161,4.453049370764763,1.7424975798644726,0.3872216844143272,11.035818005808325,6.292352371732816,1.0648596321393997,1.452081316553727,0.29041626331074544,0.0968054211035818,0.7744433688286544,0.0968054211035818,9.090909090909092,9.67741935483871,3.571428571428571,52.27272727272727,61.29032258064516,58.03571428571429,20.454545454545457,22.529644268774703,9.821428571428571,4.545454545454546,12.845849802371543,5.913978494623656
LRNm,6.25,64.74743150684932,26.776541095890412,2.5470890410958904,4.5590753424657535,2.0761986301369864,0.6207191780821918,23.48030821917808,2.2902397260273974,1.1772260273972603,1.9263698630136987,0.5993150684931506,0.3210616438356164,1.0702054794520548,0.3210616438356164,7.041322314049586,7.753796962430055,24.369747899159663,72.94520547945206,87.6898481215028,89.91596638655463,33.21917808219178,36.264462809917354,46.21848739495798,9.931506849315069,3.5371900826446283,4.396482813749001
ts,14.035087719298245,69.2982456140351,28.50877192982456,10.526315789473683,12.280701754385964,7.017543859649122,1.7543859649122806,25.438596491228072,9.649122807017543,5.701754385964912,6.578947368421052,1.7543859649122806,1.3157894736842104,4.824561403508771,1.3157894736842104,17.72151898734177,24.615384615384617,16.666666666666664,87.5,89.23076923076924,91.66666666666666,50.0,36.708860759493675,54.166666666666664,12.5,13.924050632911392,20.0
XII,4.01854714064915,83.80989180834621,31.414219474497685,5.370942812982999,3.6321483771251932,1.545595054095827,0.5023183925811437,29.82998454404946,5.139103554868624,2.357032457496136,1.545595054095827,0.5023183925811437,0.3091190108191654,2.3183925811437405,0.3091190108191654,4.333794375288151,4.920049200492005,9.352517985611511,90.38461538461539,94.95694956949569,95.68345323741008,38.46153846153847,35.59243891194099,43.884892086330936,12.5,6.131857999077916,7.503075030750307
ANcr2,0.8189373734243756,8.19601376700125,0.1239472781399055,0.5743628335233121,0.10402717986742067,0.030986819534976374,0.050906917807461184,0.013280065514989874,0.37184183441971647,0.045373557176215405,0.004426688504996624,0.016600081893737344,0.018813426146235657,0.006640032757494937,0.002213344252498312,1.2692411558196057,25.0,8.863198458574182,12.702702702702704,10.714285714285714,64.73988439306359,3.783783783783784,0.16203078584931138,7.89980732177264,6.216216216216217,4.536862003780719,36.607142857142854
DEC,0.3758591065292096,9.154853951890034,0.02326746849942726,0.41881443298969073,0.06264318442153494,0.0,0.008949026345933562,0.0017898052691867126,0.3257445589919817,0.0071592210767468505,0.0,0.0053694158075601375,0.0,0.0,0.0,0.6842619745845552,0.0,2.1367521367521367,16.666666666666664,7.6923076923076925,77.77777777777779,0.0,0.019550342130987292,1.7094017094017095,2.380952380952381,3.5581622678396876,30.76923076923077
ECU,1.1976047904191618,66.37494242284662,11.285122063565177,1.3357899585444497,0.8751727314601566,0.23030861354214646,0.046061722708429294,9.719023491478582,1.1515430677107323,0.2763703362505758,0.18424689083371718,0.046061722708429294,0.046061722708429294,0.2763703362505758,0.046061722708429294,1.31852879944483,2.0408163265306123,3.4482758620689653,73.07692307692307,86.12244897959184,86.20689655172413,19.230769230769234,14.642609299097847,20.689655172413794,3.8461538461538463,1.7349063150589867,2.4489795918367347
AP,7.889125799573561,26.581378820184792,3.1982942430703627,3.6958066808813075,2.4164889836531627,0.35536602700781805,0.35536602700781805,2.1321961620469083,2.6297085998578535,0.14214641080312723,0.28429282160625446,0.21321961620469082,0.0,0.14214641080312723,0.0,9.090909090909092,11.11111111111111,9.615384615384617,30.630630630630627,66.66666666666666,71.15384615384616,4.504504504504505,8.02139037433155,3.8461538461538463,4.504504504504505,9.893048128342247,4.444444444444445
c,16.666666666666664,83.33333333333334,83.33333333333334,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,83.33333333333334,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,20.0,20.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,20.0,20.0
NR,7.109004739336493,85.30805687203792,18.009478672985782,5.213270142180095,6.6350710900473935,1.8957345971563981,0.47393364928909953,17.061611374407583,5.213270142180095,0.47393364928909953,1.8957345971563981,0.47393364928909953,0.0,0.47393364928909953,0.0,7.777777777777778,10.526315789473683,9.090909090909092,93.33333333333333,94.73684210526315,100.0,26.666666666666668,20.0,9.090909090909092,6.666666666666667,6.111111111111111,2.631578947368421
tspc,5.303030303030303,66.66666666666666,15.246212121212121,4.071969696969697,4.545454545454546,1.4204545454545454,0.3787878787878788,12.121212121212121,3.2196969696969697,0.946969696969697,1.231060606060606,0.2840909090909091,0.0946969696969697,0.946969696969697,0.0946969696969697,6.8181818181818175,9.316770186335404,9.30232558139535,85.71428571428571,79.5031055900621,79.06976744186046,26.785714285714285,18.181818181818183,23.25581395348837,7.142857142857142,4.829545454545454,6.211180124223603
RO,5.1020408163265305,72.44897959183673,61.224489795918366,6.122448979591836,4.081632653061225,3.061224489795918,2.0408163265306123,48.97959183673469,4.081632653061225,3.061224489795918,3.061224489795918,1.0204081632653061,1.0204081632653061,3.061224489795918,1.0204081632653061,5.633802816901409,5.0,33.33333333333333,80.0,80.0,66.66666666666666,60.0,67.6056338028169,50.0,40.0,5.633802816901409,5.0
py,8.103294746215495,35.97506678539626,6.233303650934995,0.7123775601068566,2.9385574354407837,1.2466607301869992,0.26714158504007124,4.363312555654497,0.26714158504007124,0.08904719501335707,0.8014247551202136,0.08904719501335707,0.08904719501335707,0.08904719501335707,0.08904719501335707,8.16831683168317,20.0,37.5,36.26373626373626,70.0,37.5,15.384615384615385,12.128712871287128,12.5,3.296703296703297,0.7425742574257426,1.4285714285714286
IO,9.941137998691955,59.516023544800525,15.434924787442771,1.2426422498364944,8.371484630477436,1.5696533682145193,0.13080444735120994,13.603662524525834,1.1118378024852846,0.3924133420536298,1.5042511445389144,0.13080444735120994,0.06540222367560497,0.3270111183780248,0.06540222367560497,14.065934065934066,10.16949152542373,10.526315789473683,84.21052631578947,88.13559322033898,89.47368421052632,15.789473684210526,22.857142857142858,31.57894736842105,1.3157894736842104,1.8681318681318682,2.5423728813559325
ANcr1,1.3669678280537394,6.9028167447379145,0.34977567390525155,0.4325847557132087,0.10876416715074962,0.11000012359564448,0.027191041787687404,0.04202251912642598,0.28303402588092796,0.012359564448948819,0.017303390228528347,0.008651695114264174,0.0049438257795795275,0.0061797822244744095,0.0037078693346846454,1.5756490599820947,31.448763250883395,6.2857142857142865,7.956600361663653,12.014134275618375,65.42857142857143,8.047016274864376,0.6087735004476276,2.857142857142857,1.9891500904159132,4.100268576544315,3.53356890459364
SPVI,2.592852137351086,69.74538659191778,8.245736977341743,1.6351319785096938,1.8406914272366268,0.7428170988086896,0.1775286148096239,6.685353889278206,1.3267928054192946,0.42046250875963564,0.5933193179163747,0.14482597523943005,0.08409250175192712,0.37841625788367206,0.07942069609904227,2.639158684439681,9.008498583569406,10.857142857142858,70.990990990991,81.07648725212464,81.14285714285714,28.64864864864865,9.585370754906558,25.71428571428571,6.846846846846846,1.9023377319311408,5.099150141643059
RPA,4.819277108433735,55.42168674698795,33.13253012048193,0.6024096385542169,1.2048192771084338,0.6024096385542169,0.0,27.10843373493976,0.6024096385542169,0.6024096385542169,0.6024096385542169,0.0,0.0,0.6024096385542169,0.0,2.1739130434782608,1.8181818181818181,0.0,25.0,81.81818181818183,100.0,12.5,48.91304347826087,100.0,0.0,1.0869565217391304,1.8181818181818181
PAS,6.701030927835052,66.49484536082474,12.886597938144329,5.670103092783505,5.670103092783505,2.5773195876288657,1.0309278350515463,11.082474226804123,3.608247422680412,0.7731958762886598,2.5773195876288657,0.5154639175257731,0.5154639175257731,0.5154639175257731,0.5154639175257731,8.527131782945736,20.0,18.181818181818183,84.61538461538461,86.0,63.63636363636363,38.46153846153847,16.666666666666664,13.636363636363635,15.384615384615385,5.426356589147287,6.0
AMBv,14.285714285714285,84.89795918367346,33.06122448979592,5.714285714285714,12.244897959183673,8.571428571428571,1.6326530612244898,31.020408163265305,5.714285714285714,4.489795918367347,7.346938775510205,1.6326530612244898,1.6326530612244898,4.489795918367347,1.6326530612244898,14.423076923076922,25.925925925925924,28.57142857142857,85.71428571428571,93.82716049382715,100.0,60.0,36.53846153846153,78.57142857142857,11.428571428571429,6.730769230769231,13.580246913580247
PARN,6.154097290238329,73.35945151811949,20.85101752094896,6.018065077810426,5.414082054630537,2.87300032647731,0.6583959081510502,17.673305038633146,5.060398302317989,1.9751877244531504,2.644466209598433,0.6094243116770051,0.3428011753183154,1.7303297420829251,0.30471215583850253,7.380210651238689,13.778705636743215,10.940325497287523,87.97524314765694,84.75991649269311,84.08679927667269,46.684350132625994,24.091381100726895,32.82097649186257,10.698496905393457,6.8980863373386745,9.472860125260961
V4,3.717948717948718,26.53846153846154,10.256410256410255,1.4102564102564104,1.153846153846154,0.1282051282051282,0.38461538461538464,4.102564102564102,1.282051282051282,0.0,0.1282051282051282,0.38461538461538464,0.0,0.0,0.0,4.3478260869565215,1.25,27.27272727272727,31.03448275862069,40.0,90.9090909090909,3.4482758620689653,15.458937198067632,0.0,10.344827586206897,4.830917874396135,0.0
SIM,1.037759439859965,6.422060060469663,0.15231080497397076,0.3193980313260133,0.07047216349541931,0.007956534588192503,0.01932301257132465,0.009093182386505718,0.19209347791493328,0.011366477983132147,0.0022732955966264295,0.009093182386505718,0.0011366477983132148,0.0022732955966264295,0.0011366477983132148,1.0973451327433628,5.223880597014925,6.049822064056939,6.790799561883899,5.970149253731343,60.14234875444839,0.7667031763417306,0.1415929203539823,3.558718861209965,1.8619934282584885,2.9911504424778763,7.462686567164178
NOD,0.080902057946099,9.15204530515245,1.051726753299287,0.5157506194063811,0.010112757243262376,0.010112757243262376,0.005056378621631188,0.3438337462709208,0.18708600900035394,0.23764979521666585,0.010112757243262376,0.005056378621631188,0.005056378621631188,0.04550740759468069,0.005056378621631188,0.11049723756906078,0.9615384615384616,0.9803921568627451,12.5,32.69230769230769,36.27450980392157,12.5,3.7569060773480665,46.07843137254902,6.25,2.0441988950276246,22.596153846153847
icp,10.418604651162791,31.906976744186043,11.44186046511628,0.9302325581395349,0.5581395348837209,1.0232558139534882,0.18604651162790697,5.674418604651163,0.27906976744186046,0.27906976744186046,0.0,0.0,0.09302325581395349,0.0,0.0,1.749271137026239,8.94308943089431,20.0,5.357142857142857,49.59349593495935,30.0,9.821428571428571,17.784256559766764,30.0,1.7857142857142856,0.8746355685131195,2.4390243902439024
SPIV,1.7028772753963595,77.42219612448619,17.439812096300646,1.996476805637111,1.5560775102759836,0.4403992953611274,0.1467997651203758,15.061655901350557,1.5267175572519083,0.2935995302407516,0.4403992953611274,0.11743981209630064,0.02935995302407516,0.2935995302407516,0.02935995302407516,2.009859689040576,2.525252525252525,7.352941176470589,91.37931034482759,86.36363636363636,76.47058823529412,25.862068965517242,19.453924914675767,14.705882352941178,8.620689655172415,1.9719378081152827,1.6835016835016834
GRN,5.959701068962255,76.23687446788384,16.26147005959701,1.6460126761895753,5.552927821398165,1.466275659824047,0.5675905779964052,15.022230630971526,1.5514142465235077,0.577050420963012,1.4378961309242266,0.5202913631633715,0.12297795856588781,0.5675905779964052,0.12297795856588781,7.283782106961162,9.016870273414776,34.48275862068966,93.17460317460318,92.37929028504944,94.25287356321839,24.6031746031746,19.70467799975183,35.05747126436782,9.523809523809524,2.0349919344831866,3.5485747527632348
chpl,2.133393218055244,11.273298899618235,25.084212890186393,3.5032562317538734,0.4940489557601617,0.8533572872220974,0.6063328093420166,1.6618010330114528,1.4147765551313722,0.6512463507747586,0.33685156074556477,0.3143947900291938,0.2919380193128228,0.3143947900291938,0.22456770716370988,4.382470119521913,3.4019695613249774,17.307692307692307,23.157894736842106,6.624888093106536,40.38461538461539,40.0,14.741035856573706,18.58974358974359,28.421052631578945,12.549800796812749,2.5962399283795885
mlf,5.047318611987381,70.97791798107255,15.772870662460567,11.041009463722396,4.416403785488959,1.8927444794952681,3.4700315457413247,13.880126182965299,9.779179810725552,3.4700315457413247,1.8927444794952681,3.4700315457413247,0.9463722397476341,3.1545741324921135,0.9463722397476341,6.222222222222222,12.0,31.428571428571427,87.5,88.0,88.57142857142857,37.5,19.555555555555557,31.428571428571427,68.75,13.777777777777779,22.0
